"""branchcode"";""branchname"";""gstinnum"";""address"";""pincode"";""regioncode"";""regiondesc"";""pannum"";""mobilenum"";""emailid"";""isactive"";""segment"";""customer_cin"";""plantdesc""",,,,
"2500;""IFB Industries Ltd","Delhi"";""07AAACI6561R1ZZ"";""Mohan Co-Operative Industrial Area A-12"," Ground Fl"";""110044"";""30"";""Delhi"";""AAACI6561R"";""011 - 30889780"";""shikher_bansal@ifbglobal.com"";""X"";""1301"";""L51109WB1974PLC029637"";""Delhi Service Branch""",,
"2505;""IFB Industries Ltd","Rajasthan"";""08AAACI6561R3ZV"";""V.K.I Area", Jaipur 138," Road Number 12 Jaipur"";""302013"";""20"";""Rajasthan"";""AAACI6561R"";""1415129977"";""jaipur_accounts@ifbglobal.com"";""X"";""1303"";""L51109WB1974PLC029637"";""Jaipur Service Branch""",
"2506;""IFB Industries Ltd","Rajasthan"";""08AAACI6561R3ZV"";""V.K.I Area", Jaipur 138," Road Number 12 Jaipur"";""302013"";""20"";""Rajasthan"";""AAACI6561R"";""1415129977"";""jaipur_accounts@ifbglobal.com"";""X"";""1303"";""L51109WB1974PLC029637"";""Jodhpur DSO Service Branch""",
"2510;""IFB Industries Ltd","Madhya Pradesh"";""23AAACI6561R2Z4"";""Misrod KHASRA NO – 76/1/3 "," HOSHANGABAD ROAD NEAR"";""462047"";""12"";""Madhya Pradesh"";""AAACI6561R"";""0755-3048800"";""bhopal_accounts@ifbglobal.com"";""X"";""1309"";""L51109WB1974PLC029637"";""Bhopal Service Branch""",,
"2515;""IFB Industries Ltd","Madhya Pradesh"";""23AAACI6561R2Z4"";""Misrod KHASRA NO – 76/1/3 "," HOSHANGABAD ROAD NEAR"";""462047"";""12"";""Madhya Pradesh"";""AAACI6561R"";""0755-3048800"";""bhopal_accounts@ifbglobal.com"";""X"";""1309"";""L51109WB1974PLC029637"";""Mandideep Service Branch""",,
"2516;""IFB Industries Ltd","Madhya Pradesh"";""23AAACI6561R2Z4"";""Misrod KHASRA NO – 76/1/3 "," HOSHANGABAD ROAD NEAR"";""462047"";""12"";""Madhya Pradesh"";""AAACI6561R"";""0755-3048800"";""bhopal_accounts@ifbglobal.com"";""X"";""1309"";""L51109WB1974PLC029637"";""Indore Service Branch""",,
"2520;""IFB Industries Ltd","Uttar Pradesh"";""09AAACI6561R1ZV"";""E 75"," TRANSPORT NAGAR PHASE II KANPUR ROAD Luckn"";""226012"";""24"";""Uttar Pradesh"";""AAACI6561R"";""0522-3295904"";""lucknow_accounts@ifbglobal.com"";""X"";""1305"";""L51109WB1974PLC029637"";""Lucknow Service Branch""",,
"2525;""IFB Industries Ltd","Ghaziabad"";""09AAACI6561R1ZV"";""Khasra no. 1321-22 village morta Ghaziabad"";""201003"";""24"";""Uttar Pradesh"";""AAACI6561R"";""0120 - 2833214"";""lucknow_accounts@ifbglobal.com"";""X"";""1305"";""L51109WB1974PLC029637"";""Ghaziabad Service Branch""",,,
"2530;""IFB Industries Ltd","Uttaranchal"";""05AAACI6561R1Z3"";""HCL Compound Niranjanpur Saharanpur Road Dehradu"";""248001"";""35"";""Uttarakhand"";""AAACI6561R"";""0135-3245743"";""dehradun_accounts@ifbglobal.com"";""X"";""1307"";""L51109WB1974PLC029637"";""Dehradun Service Branch""",,,
"2535;""IFB Industries Ltd","Chandigarh"";""04AAACI6561R1Z5"";""SCO 2431"," SECTOR 22-C Chandigarh Chandigarh"";""160002"";""27"";""Chandigarh"";""AAACI6561R"";""0172-3293811"";""saptarshi_majumder@ifbglobal.com"";""X"";""1401"";""L51109WB1974PLC029637"";""Chandigarh  Service Branch""",,
"2540;""IFB Industries Ltd","Haryana"";""06AAACI6561R2Z0"";""Bye Pass"," G.T. Road General & Allied Industries Co"";""132001"";""07"";""Haryana"";""AAACI6561R"";""0184-2282250"";""sa_north2@ifbglobal.com"";""X"";""1405"";""L51109WB1974PLC029637"";""Karnal""",,
"2545;""IFB Industries Ltd","Punjab"";""03AAACI6561R1Z7"";""Village Threekay (Outside Octroi) C/o Baldev Ware"";""141001"";""19"";""Punjab"";""AAACI6561R"";""0161-3204354"";""punjab_accounts@ifbglobal.com"";""X"";""1403"";""L51109WB1974PLC029637"";""Ludhiana Service Branch""",,,
"2550;""IFB Industries Ltd","Jammu & Kashmir"";""01AAACI6561R1ZB"";""JAMMU Maloofa Avenue ","Chowadhi Birpur Road near Bh"";""180011"";""09"";""Jammu and Kashmir"";""AAACI6561R"";""0191-2484906"";""piyush_jain@ifbglobal.com"";""X"";""1407"";""L51109WB1974PLC029637"";""Jammu Service Branch""",,
"2551;""IFB Industries Ltd","Punjab"";""03AAACI6561R1Z7"";""Village Threekay (Outside Octroi) C/o Baldev Ware"";""141001"";""19"";""Punjab"";""AAACI6561R"";""0161-3204354"";""punjab_accounts@ifbglobal.com"";""X"";""1403"";""L51109WB1974PLC029637"";""Mohali Service plant""",,,
"2553;""IFB Industries Ltd","Punjab"";""03AAACI6561R1Z7"";""Village Threekay (Outside Octroi) C/o Baldev Ware"";""141001"";""19"";""Punjab"";""AAACI6561R"";""0161-3204354"";""punjab_accounts@ifbglobal.com"";""X"";""1403"";""L51109WB1974PLC029637"";""Zirakpur Service plant""",,,
"2554;""IFB Industries Ltd-Mohali"";""03AAACI6561R1Z7"";""Phase 8B Plot No A-44 Industrial Area Sahibzada Aj"";""160071"";""19"";""Punjab"";""AAACI6561R"";"""";""rahul@ifbglobal.com"";""X"";""1413"";""L51109WB1974PLC029637"";""Mohali Service plant""",,,,
"2555;""IFB Industries Ltd","Himachal Pradesh"";""02AAACI6561R2Z8"";""SHOP NO C-77", BIG (B) COMPLEX, ROTARY CHOWNK," BA"";""173205"";""08"";""Himachal Pradesh"";""AAACI6561R"";""01792-655450"";""sa_north2@ifbglobal.com"";""X"";""1409"";""L51109WB1974PLC029637"";""Parwanoo Service Branch"""
"2560;""IFB Industries Ltd","Uttar Pradesh"";""09AAACI6561R1ZV"";""E 75"," TRANSPORT NAGAR PHASE II KANPUR ROAD Luckn"";""226012"";""24"";""Uttar Pradesh"";""AAACI6561R"";""0522-3295904"";""lucknow_accounts@ifbglobal.com"";""X"";""1305"";""L51109WB1974PLC029637"";""Allahabad Service Branch""",,
"2565;""IFB Industries Ltd","Uttar Pradesh"";""09AAACI6561R1ZV"";""E 75"," TRANSPORT NAGAR PHASE II KANPUR ROAD Luckn"";""226012"";""24"";""Uttar Pradesh"";""AAACI6561R"";""0522-3295904"";""lucknow_accounts@ifbglobal.com"";""X"";""1305"";""L51109WB1974PLC029637"";""Kanpur Service Branch""",,
"2570;""IFB Industries Ltd","Punjab"";""03AAACI6561R1Z7"";""Village Threekay (Outside Octroi) C/o Baldev Ware"";""141001"";""19"";""Punjab"";""AAACI6561R"";""0161-3204354"";""punjab_accounts@ifbglobal.com"";""X"";""1403"";""L51109WB1974PLC029637"";""JalandharServiceBranch(Blocked""",,,
"2575;""IFB Industries Ltd","Punjab"";""03AAACI6561R1Z7"";""Village Threekay (Outside Octroi) C/o Baldev Ware"";""141001"";""19"";""Punjab"";""AAACI6561R"";""0161-3204354"";""punjab_accounts@ifbglobal.com"";""X"";""1403"";""L51109WB1974PLC029637"";""Patiala Service Branch(Blocked""",,,
"2580;""IFB Industries Ltd","Haryana"";""06AAACI6561R2Z0"";""Bye Pass"," G.T. Road General & Allied Industries Co"";""132001"";""07"";""Haryana"";""AAACI6561R"";""0184-2282250"";""sa_north2@ifbglobal.com"";""X"";""1405"";""L51109WB1974PLC029637"";""Ambala""",,
"3500;""IFB Industries Ltd","West Bengal"";""19AAACI6561R2ZT"";""47", Hide Road C/O," Apeejay Industries Private Ltd."";""700088"";""25"";""West Bengal"";""AAACI6561R"";""033-24012305"";""accounts_east@ifbglobal.com"";""X"";""1001"";""L51109WB1974PLC029637"";""HAD-WEST BENGAL-SERV Kolkata Service Branch""",
"3505;""IFB Industries Ltd","West Bengal"";""19AAACI6561R2ZT"";""47", Hide Road C/O," Apeejay Industries Private Ltd."";""700088"";""25"";""West Bengal"";""AAACI6561R"";""033-24012305"";""accounts_east@ifbglobal.com"";""X"";""1001"";""L51109WB1974PLC029637"";""HAD-WEST BENGAL-SERV Gangarampur Service Branch""",
"3510;""IFB Industries Ltd","West Bengal"";""19AAACI6561R2ZT"";""47", Hide Road C/O," Apeejay Industries Private Ltd."";""700088"";""25"";""West Bengal"";""AAACI6561R"";""033-24012305"";""accounts_east@ifbglobal.com"";""X"";""1001"";""L51109WB1974PLC029637"";""HAD-WEST BENGAL-SERV Siliguri Service Branch""",
"3515;""IFB Industries Ltd","West Bengal"";""19AAACI6561R2ZT"";""47", Hide Road C/O," Apeejay Industries Private Ltd."";""700088"";""25"";""West Bengal"";""AAACI6561R"";""033-24012305"";""accounts_east@ifbglobal.com"";""X"";""1001"";""L51109WB1974PLC029637"";""HAD-WEST BENGAL-SERV Durgapur Service Branch""",
"3520;""IFB Industries Ltd","Jharkhand"";""20AAACI6561R1ZB"";""Sonari", Jamshedpur Holding No.304, Road No.7," West"";""831011"";""34"";""Jharkhand"";""AAACI6561R"";""0657-231052"";""jharkhand_accounts@ifbglobal.com"";""X"";""1005"";""L51109WB1974PLC029637"";""Jamshedpur  Service Branch"""
"3525;""IFB Industries Ltd","Jharkhand"";""20AAACI6561R1ZB"";""Sonari", Jamshedpur Holding No.304, Road No.7," West"";""831011"";""34"";""Jharkhand"";""AAACI6561R"";""0657-231052"";""jharkhand_accounts@ifbglobal.com"";""X"";""1005"";""L51109WB1974PLC029637"";""Ranchi Service Branch"""
"3530;""IFB Industries Ltd","Orissa"";""21AAACI6561R1Z9"";""Jayapur Plot No: 502/165", Pahala," Near Ganapati Dh"";""752101"";""18"";""Orissa"";""AAACI6561R"";""06743297146"";""orissa_accounts@ifbglobal.com"";""X"";""1007"";""L51109WB1974PLC029637"";""Bhubaneshwar Service Branch""",
"3535;""IFB Industries Ltd","Bihar"";""10AAACI6561R1ZC"";""& New Thana as Bye Pass Marcha march road Mahadev"";""800007"";""04"";""Bihar"";""AAACI6561R"";""7903823345"";""bihar_service@ifbglobal.com"";""X"";""1003"";""L51109WB1974PLC029637"";""Patna Service Branch""",,,
"3540;""IFB Industries Ltd","Assam"";""18AAACI6561R1ZW"";""Vill: Mikirpara Chakradoi Ramcharani", Pamohi," Gu"";""781035"";""03"";""Assam"";""AAACI6561R"";""0361-781028"";""guwahati_accounts@ifbglobal.com"";""X"";""1009"";""L51109WB1974PLC029637"";""Guwahati Service Branch""",
